index	Npeaks	SP1	SP2	SP3	PeakWL1	PeakWL2	PeakWL3	Sinv11	Sinv12	Sinv13	Sinv21	Sinv22	Sinv23	Sinv31	Sinv32	Sinv33	FWHM1	FWHM2	FWHM3
0	2	53204	0	0	542.8327583	701.3626464	0	-0.420617448	0.611790438	0.194467613	1.732237891	-0.341320306	0.496859231	0	0	0	22.03297271	28.73682659	0
1	2	53204	0	0	542.8327583	701.3626464	0	-0.420617448	0.611790438	0.194467613	1.732237891	-0.341320306	0.496859231	0	0	0	22.03297271	28.73682659	0
2	2	53127	0	0	543.66097	702.6988306	0	-0.419289634	0.619177961	0.157608083	1.739098182	-0.353827542	0.57641956	0	0	0	22.36907205	27.41629179	0
3	2	53047	0	0	544.6850823	704.0215069	0	-0.439669591	0.651841214	0.199886125	1.776956477	-0.360874023	0.524324152	0	0	0	21.71155616	26.26978143	0
4	2	52971	0	0	545.4860666	705.099743	0	-0.434260493	0.66039508	0.184689121	1.881310176	-0.395707629	0.593819092	0	0	0	21.93786033	25.23779324	0
5	2	52894	0	0	546.5008668	705.9499835	0	-0.413590167	0.675985085	0.087895082	1.858546352	-0.430927109	0.804798879	0	0	0	21.40376594	23.87933246	0
6	2	52818	0	0	547.275186	706.8020916	0	-0.396391839	0.694799281	-0.005300681	1.847016205	-0.467610561	1.017436451	0	0	0	21.53006108	22.89077043	0
7	2	52735	0	0	548.3117179	707.2102387	0	-0.384476856	0.704905408	-0.051138376	1.983483038	-0.528430012	1.21486645	0	0	0	21.08627216	21.47977408	0
8	2	52670	0	0	548.8607007	707.5635196	0	-0.376631921	0.712891793	-0.088670093	1.994937589	-0.550875404	1.322077557	0	0	0	21.11222389	20.78657171	0
9	2	52576	0	0	549.9926585	708.4738085	0	-0.325186609	0.754630773	-0.331289161	1.929434309	-0.652832584	1.944027905	0	0	0	20.71710414	19.30825524	0
10	2	52482	0	0	550.812515	709.4203849	0	-0.302574377	0.775344314	-0.435149286	2.118800852	-0.780417735	2.475380289	0	0	0	20.8238033	17.92178563	0
11	2	52386	0	0	551.9493336	709.8062611	0	-0.272240304	0.806145758	-0.59349695	2.124757809	-0.878705922	3.019504799	0	0	0	20.44296034	16.79599902	0
12	2	52275	0	0	552.8525817	710.1310492	0	-0.243232915	0.835636167	-0.74232312	2.170792156	-0.99849105	3.636918334	0	0	0	20.67959555	15.83229797	0
