index	Npeaks	SP1	SP2	SP3	PeakWL1	PeakWL2	PeakWL3	Sinv11	Sinv12	Sinv13	Sinv21	Sinv22	Sinv23	Sinv31	Sinv32	Sinv33	FWHM1	FWHM2	FWHM3
0	2	53895	0	0	533.8275323	687.9319591	0	-0.324303817	0.5930675	0.310029492	1.312390885	-0.257394663	0.226933728	0	0	0	23.63863743	32.06504173	0
1	2	53895	0	0	533.8275323	687.9319591	0	-0.324303817	0.5930675	0.310029492	1.312390885	-0.257394663	0.226933728	0	0	0	23.63863743	32.06504173	0
2	2	53806	0	0	534.9730097	689.8544049	0	-0.345609621	0.593682654	0.295413526	1.372514853	-0.263853826	0.255769589	0	0	0	23.84791648	32.26609169	0
3	2	53733	0	0	536.1788599	691.3466885	0	-0.355440478	0.597538478	0.269893399	1.41356075	-0.276349148	0.304661227	0	0	0	23.39300812	32.60739618	0
4	2	53670	0	0	536.9797421	692.7844733	0	-0.370329825	0.604921011	0.186395584	1.444572574	-0.291641137	0.4534488	0	0	0	23.46318322	32.36878523	0
5	2	53619	0	0	537.5200703	693.6197061	0	-0.37370688	0.602800449	0.227709549	1.472002566	-0.291360058	0.385973591	0	0	0	23.58509383	32.56657709	0
6	2	53576	0	0	538.293304	694.5982185	0	-0.378591224	0.609829294	0.158960946	1.483803453	-0.305942965	0.510450459	0	0	0	22.94145618	32.0228617	0
7	2	53539	0	0	538.6529211	695.1991202	0	-0.388303131	0.603345923	0.224077897	1.524705442	-0.298242228	0.398965883	0	0	0	22.88982405	32.12404355	0
8	2	53506	0	0	539.0064478	695.9738452	0	-0.388450082	0.608261345	0.1914733	1.522385141	-0.30598676	0.458571095	0	0	0	22.98017146	31.74762117	0
9	2	53474	0	0	539.3791577	696.5177541	0	-0.3875841	0.613080685	0.144686033	1.529203577	-0.317640939	0.546836463	0	0	0	23.00796211	31.47537105	0
10	2	53443	0	0	539.9821438	697.0142294	0	-0.397974801	0.607036573	0.206596639	1.567710242	-0.310360332	0.437944091	0	0	0	22.53372665	31.5311146	0
11	2	35239	0	0	539.9958919	660.5024267	0	-0.22120096	0.699073051	0.255168773	1.253786491	-0.276796447	0.461497047	0	0	0	18.15753304	21.44710441	0
12	2	53406	0	0	540.3298403	697.8388904	0	-0.400782848	0.609822392	0.176148385	1.579527927	-0.316976905	0.49685704	0	0	0	22.46295748	30.99636618	0
13	2	53369	0	0	540.780494	698.4397829	0	-0.39784357	0.618078569	0.112674424	1.575424122	-0.333021649	0.616397963	0	0	0	22.43929029	30.8534609	0
14	2	53324	0	0	541.2738618	699.2120027	0	-0.408535215	0.61199781	0.190053528	1.620428351	-0.3235071	0.48022235	0	0	0	22.52783069	30.59271222	0
15	2	34667	0	0	541.391868	662.5460038	0	-0.199377854	0.733255365	0.052227215	1.23087071	-0.336696146	0.807973736	0	0	0	18.50644486	21.56695443	0
16	2	53267	0	0	542.1821703	700.3681421	0	-0.408204177	0.617500584	0.139364862	1.672917218	-0.345811714	0.595225564	0	0	0	22.08525082	29.50697421	0
17	2	34141	0	0	543.0093247	664.4708461	0	-0.166157354	0.778872283	-0.211700126	1.187492424	-0.414208632	1.264681439	0	0	0	18.1248182	21.69888423	0
18	2	33519	0	0	544.7940893	666.6187462	0	-0.153851881	0.864785372	-0.444382519	1.164692475	-0.475456733	1.632487652	0	0	0	17.90985035	21.90610687	0
19	2	32902	0	0	546.5200869	668.722508	0	-0.093300786	0.934831269	-0.855062827	1.023951667	-0.557492551	2.195672914	0	0	0	17.74758653	22.05913037	0
20	2	32410	0	0	547.9435618	670.419621	0	-0.033097435	1.002178578	-1.246062	0.941021878	-0.658921908	2.815570398	0	0	0	17.5773986	22.00005834	0
21	2	31672	0	0	549.4620166	672.7667141	0	0.017518226	1.002166172	-1.505028699	0.877029686	-0.751111057	3.394600247	0	0	0	18.0402813	22.09299839	0
22	2	30938	0	0	551.1910404	675.0399944	0	0.069139698	1.132277758	-1.967772378	0.813603037	-0.844492166	3.990419169	0	0	0	17.68457178	22.19130381	0
23	2	30333	0	0	552.6366519	676.91402	0	0.079436604	1.158397332	-2.089442114	0.80718595	-0.872998389	4.184617548	0	0	0	17.27528266	22.10466439	0
24	2	29619	0	0	554.2690625	679.0219539	0	0.144598642	1.241789639	-2.541063116	0.721564411	-0.976267755	4.877452432	0	0	0	17.15621261	22.29731758	0
25	2	28789	0	0	556.0636503	681.4161131	0	0.190028799	1.317682581	-2.90396841	0.668991285	-1.050895593	5.387926549	0	0	0	17.28258829	22.8268466	0
26	2	28011	0	0	557.3879727	683.9085069	0	0.229279019	1.30453368	-3.098656837	0.600099699	-1.134118261	5.967540867	0	0	0	18.27741671	22.59999916	0
27	2	27229	0	0	559.0412604	686.1145488	0	0.308763567	1.395051531	-3.598263724	0.48859329	-1.241748202	6.712073308	0	0	0	18.39933577	22.99985634	0
28	2	26226	0	0	561.1021639	688.8229149	0	0.470581047	1.531389033	-4.376295675	0.251355332	-1.410131219	7.842757917	0	0	0	19.1429395	23.53244884	0
29	2	25324	0	0	563.0131	691.2632427	0	0.765797335	1.731729826	-5.655387877	-0.192404061	-1.686438695	9.73942159	0	0	0	19.89791872	23.88416058	0
30	2	24267	0	0	565.2796907	694.2103703	0	1.047206879	1.886430335	-6.555590571	-0.615740678	-1.917279742	11.1753238	0	0	0	21.35264079	23.30840474	0
31	2	23113	0	0	568.2446615	696.8895468	0	0.761277678	2.097116838	-6.093937831	0.775863565	-1.732996915	9.306909954	0	0	0	22.62755506	23.0986094	0
