index	Npeaks	SP1	SP2	SP3	PeakWL1	PeakWL2	PeakWL3	Sinv11	Sinv12	Sinv13	Sinv21	Sinv22	Sinv23	Sinv31	Sinv32	Sinv33	FWHM1	FWHM2	FWHM3
0	2	44748	0	0	505.914289	614.2813052	0	-0.398411474	1.259903596	1.025911637	0.752656263	-0.099247137	0.020958335	0	0	0	14.26460175	22.90707427	0
1	2	44748	0	0	505.914289	614.2813052	0	-0.398411474	1.259903596	1.025911637	0.752656263	-0.099247137	0.020958335	0	0	0	14.26460175	22.90707427	0
2	2	44504	0	0	506.3181366	615.9095098	0	-0.364495855	1.176188483	0.92495601	0.765202521	-0.106846281	0.0353548	0	0	0	15.09912909	22.79424699	0
3	2	44248	0	0	506.9382743	617.3439037	0	-0.337134853	1.104043956	0.858529224	0.777804247	-0.110892649	0.040502986	0	0	0	16.23087477	23.16473398	0
4	2	43978	0	0	507.8538488	619.0121786	0	-0.30583115	1.024327027	0.765801354	0.791422918	-0.119844507	0.057266778	0	0	0	16.51291242	22.66593783	0
5	2	43666	0	0	509.0977574	620.8469159	0	-0.278237594	0.95500646	0.689725545	0.799175554	-0.12899134	0.070664975	0	0	0	17.24490964	22.21616876	0
6	2	43342	0	0	510.0601346	622.6531667	0	-0.25327961	0.879268856	0.623369971	0.863335503	-0.143108203	0.08429736	0	0	0	18.37076827	21.65932089	0
7	2	43048	0	0	511.3359227	624.2851672	0	-0.23841112	0.844639486	0.575735731	0.878215462	-0.152799902	0.103184353	0	0	0	18.577071	21.18884467	0
8	2	42762	0	0	512.6410579	625.8674836	0	-0.230111072	0.825044037	0.550044233	0.893652339	-0.160007033	0.114602944	0	0	0	18.58694859	20.89169783	0
9	2	42421	0	0	514.1517243	627.3012982	0	-0.218742338	0.794242532	0.518235206	0.911636412	-0.168136302	0.126068664	0	0	0	18.5484943	21.42245501	0
10	2	42156	0	0	515.0403214	628.6893439	0	-0.209994161	0.773799248	0.488354141	0.922498124	-0.17672722	0.142210163	0	0	0	18.59033232	21.21259358	0
11	2	41863	0	0	516.3702314	630.2245406	0	-0.206233859	0.763099194	0.471907114	0.941013935	-0.184051453	0.153923333	0	0	0	18.18199287	21.34892856	0
12	2	41531	0	0	517.4774165	631.9369428	0	-0.199155531	0.745591688	0.443422031	0.960269196	-0.194818864	0.174626587	0	0	0	18.43740426	21.66755925	0
13	2	41210	0	0	518.8027258	633.305422	0	-0.208594081	0.778111949	0.456456728	0.924336074	-0.189092695	0.173872734	0	0	0	17.74874872	22.46489742	0
14	2	40906	0	0	520.1131956	634.8704879	0	-0.205648389	0.770593929	0.440644935	0.938567941	-0.195788953	0.187599381	0	0	0	17.41605683	22.66177639	0
15	2	40493	0	0	521.3218965	636.9858183	0	-0.204277027	0.764159078	0.423347556	0.961435979	-0.205272545	0.205314903	0	0	0	17.76855614	23.20648456	0
16	2	40138	0	0	522.7124801	638.8372911	0	-0.206267446	0.757505472	0.428103313	0.982911128	-0.206981093	0.199705025	0	0	0	17.34963734	23.44243546	0
17	2	39769	0	0	524.1720068	640.7339915	0	-0.206939662	0.751442894	0.428117697	1.003590132	-0.210591874	0.199031229	0	0	0	17.33597238	23.5611704	0
18	2	39382	0	0	525.2629457	642.7070415	0	-0.210013864	0.743648145	0.442603498	1.024763582	-0.209515767	0.180111992	0	0	0	17.98089024	23.52230515	0
