index	Npeaks	SP1	SP2	SP3	PeakWL1	PeakWL2	PeakWL3	Sinv11	Sinv12	Sinv13	Sinv21	Sinv22	Sinv23	Sinv31	Sinv32	Sinv33	FWHM1	FWHM2	FWHM3
0	1	47210	0	0	775.054537	0	0	0.887421526	0.887421526	0.887421526	0	0	0	0	0	0	28.04222696	0	0
1	1	47210	0	0	775.054537	0	0	0.887421526	0.887421526	0.887421526	0	0	0	0	0	0	28.04222696	0	0
2	1	47034	0	0	776.8154742	0	0	0.886987497	0.886987497	0.886987497	0	0	0	0	0	0	27.84959284	0	0
3	1	46815	0	0	778.9766281	0	0	0.888333268	0.888333268	0.888333268	0	0	0	0	0	0	27.72360981	0	0
4	1	46599	0	0	781.035431	0	0	0.886869539	0.886869539	0.886869539	0	0	0	0	0	0	27.72688776	0	0
5	1	46437	0	0	782.625361	0	0	0.887187115	0.887187115	0.887187115	0	0	0	0	0	0	27.37679808	0	0
6	1	46187	0	0	784.9066785	0	0	0.883356772	0.883356772	0.883356772	0	0	0	0	0	0	27.28661309	0	0
7	1	45962	0	0	786.9937188	0	0	0.884575538	0.884575538	0.884575538	0	0	0	0	0	0	27.04241125	0	0
8	1	45752	0	0	788.8811915	0	0	0.882422662	0.882422662	0.882422662	0	0	0	0	0	0	26.68556916	0	0
9	1	45496	0	0	791.0757294	0	0	0.884727079	0.884727079	0.884727079	0	0	0	0	0	0	26.2871005	0	0
10	1	45254	0	0	793.0999604	0	0	0.930060342	0.930060342	0.930060342	0	0	0	0	0	0	25.94663827	0	0
11	1	45061	0	0	794.65877	0	0	0.927215664	0.927215664	0.927215664	0	0	0	0	0	0	25.57100081	0	0
12	1	44748	0	0	797.0926164	0	0	0.928295015	0.928295015	0.928295015	0	0	0	0	0	0	25.38536911	0	0
13	1	44504	0	0	798.9352668	0	0	0.927651805	0.927651805	0.927651805	0	0	0	0	0	0	25.22208392	0	0
14	1	44248	0	0	800.8814747	0	0	0.930350147	0.930350147	0.930350147	0	0	0	0	0	0	25.21518763	0	0
15	1	43978	0	0	802.8886048	0	0	0.937935397	0.937935397	0.937935397	0	0	0	0	0	0	25.27232543	0	0
16	1	43666	0	0	805.2031018	0	0	0.944293205	0.944293205	0.944293205	0	0	0	0	0	0	25.68541051	0	0
17	1	43342	0	0	807.605824	0	0	0.906926506	0.906926506	0.906926506	0	0	0	0	0	0	26.28255244	0	0
18	1	43048	0	0	810.0078184	0	0	0.916808485	0.916808485	0.916808485	0	0	0	0	0	0	26.07541549	0	0
19	1	42762	0	0	812.1787201	0	0	0.924286815	0.924286815	0.924286815	0	0	0	0	0	0	26.3647768	0	0
20	1	42421	0	0	814.6816717	0	0	0.93285395	0.93285395	0.93285395	0	0	0	0	0	0	26.61472224	0	0
21	1	42156	0	0	816.6738759	0	0	0.941765373	0.941765373	0.941765373	0	0	0	0	0	0	26.60259792	0	0
22	1	41863	0	0	818.8148698	0	0	0.949397009	0.949397009	0.949397009	0	0	0	0	0	0	26.49742322	0	0
