index	Npeaks	SP1	SP2	SP3	PeakWL1	PeakWL2	PeakWL3	Sinv11	Sinv12	Sinv13	Sinv21	Sinv22	Sinv23	Sinv31	Sinv32	Sinv33	FWHM1	FWHM2	FWHM3
0	1	36696	0	0	851.0365439	0	0	1.263342528	1.263342528	1.263342528	0	0	0	0	0	0	25.64291477	0	0
1	1	36696	0	0	851.0365439	0	0	1.263342528	1.263342528	1.263342528	0	0	0	0	0	0	25.64291477	0	0
2	1	36316	0	0	853.1906881	0	0	1.28553785	1.28553785	1.28553785	0	0	0	0	0	0	25.61949334	0	0
3	1	35736	0	0	856.3989848	0	0	1.324725753	1.324725753	1.324725753	0	0	0	0	0	0	25.07409797	0	0
4	1	35239	0	0	858.9645247	0	0	1.359751776	1.359751776	1.359751776	0	0	0	0	0	0	25.12505008	0	0
5	1	34667	0	0	861.9830172	0	0	1.408743992	1.408743992	1.408743992	0	0	0	0	0	0	24.79235414	0	0
6	1	34141	0	0	864.5725472	0	0	1.448527255	1.448527255	1.448527255	0	0	0	0	0	0	24.77633448	0	0
7	1	33519	0	0	867.7349273	0	0	1.503987295	1.503987295	1.503987295	0	0	0	0	0	0	24.66950096	0	0
8	1	32902	0	0	870.5373699	0	0	1.559889474	1.559889474	1.559889474	0	0	0	0	0	0	24.76030718	0	0
9	1	32410	0	0	872.7756732	0	0	1.601662123	1.601662123	1.601662123	0	0	0	0	0	0	24.8645905	0	0
10	1	31672	0	0	876.198313	0	0	1.685037851	1.685037851	1.685037851	0	0	0	0	0	0	24.57664031	0	0
11	1	30938	0	0	879.3187581	0	0	1.761885831	1.761885831	1.761885831	0	0	0	0	0	0	25.01312093	0	0
12	1	30333	0	0	882.0454878	0	0	1.81445258	1.81445258	1.81445258	0	0	0	0	0	0	24.52162297	0	0
13	1	29619	0	0	884.9127847	0	0	1.889092586	1.889092586	1.889092586	0	0	0	0	0	0	24.65569982	0	0
14	1	28789	0	0	888.289773	0	0	1.979795182	1.979795182	1.979795182	0	0	0	0	0	0	24.33113003	0	0
15	1	28011	0	0	891.2073289	0	0	2.068879444	2.068879444	2.068879444	0	0	0	0	0	0	24.65087495	0	0
16	1	27229	0	0	894.2519388	0	0	2.152347077	2.152347077	2.152347077	0	0	0	0	0	0	23.97315305	0	0
17	1	26226	0	0	897.9256904	0	0	2.254726566	2.254726566	2.254726566	0	0	0	0	0	0	23.91102527	0	0
18	1	25324	0	0	900.9252753	0	0	2.326559343	2.326559343	2.326559343	0	0	0	0	0	0	24.2601732	0	0
19	1	24267	0	0	904.4808982	0	0	2.444019746	2.444019746	2.444019746	0	0	0	0	0	0	23.85732504	0	0
20	1	23113	0	0	908.1626284	0	0	2.565109333	2.565109333	2.565109333	0	0	0	0	0	0	23.65250144	0	0
21	1	22201	0	0	910.7679657	0	0	2.659032063	2.659032063	2.659032063	0	0	0	0	0	0	23.61148821	0	0
22	1	20643	0	0	915.0569782	0	0	2.790802649	2.790802649	2.790802649	0	0	0	0	0	0	23.63308132	0	0
23	1	19185	0	0	918.7635647	0	0	2.895864847	2.895864847	2.895864847	0	0	0	0	0	0	23.03728832	0	0
24	1	17528	0	0	922.5570782	0	0	3.041812021	3.041812021	3.041812021	0	0	0	0	0	0	22.77527789	0	0
25	1	15919	0	0	925.9430457	0	0	3.166004391	3.166004391	3.166004391	0	0	0	0	0	0	22.36363281	0	0
26	1	13697	0	0	929.8255444	0	0	3.321850017	3.321850017	3.321850017	0	0	0	0	0	0	22.30192325	0	0
27	1	11127	0	0	933.2791575	0	0	3.529661753	3.529661753	3.529661753	0	0	0	0	0	0	22.93313867	0	0
