ledset	index	Npeaks	SP1	SP2	SP3	PeakWL1	PeakWL2	PeakWL3	Sinv11	Sinv12	Sinv13	Sinv21	Sinv22	Sinv23	Sinv31	Sinv32	Sinv33	FWHM1	FWHM2	FWHM3
1	0	2	53204	0	0	542.8327583	701.3626464	0	-0.420617448	0.611790438	0.194467613	1.732237891	-0.341320306	0.496859231	0	0	0	22.03297271	28.73682659	0
2	1	2	53895	0	0	533.8275323	687.9319591	0	-0.324303817	0.5930675	0.310029492	1.312390885	-0.257394663	0.226933728	0	0	0	23.63863743	32.06504173	0
3   2	2	44748	0	0	505.914289	614.2813052	0	-0.398411474	1.259903596	1.025911637	0.752656263	-0.099247137	0.020958335	0	0	0	14.26460175	22.90707427	0
3	3	1	51053	0	0	565.1690104	0	0	0.852168259	1.484067068	-5.415310976	0	0	0	0	0	0	28.11688423	0	0
4	4	1	53443	0	0	697.0142294	0	0	0.748562313	0.748562313	0.748562313	0	0	0	0	0	0	30.75255492	0	0
5	5	1	50362	0	0	740.2281587	0	0	0.810986945	0.810986945	0.810986945	0	0	0	0	0	0	28.68050028	0	0
6	6	1	47210	0	0	775.054537	0	0	0.887421526	0.887421526	0.887421526	0	0	0	0	0	0	28.04222696	0	0
7	7	1	43048	0	0	810.0078184	0	0	0.916808485	0.916808485	0.916808485	0	0	0	0	0	0	26.07541549	0	0
8	8	1	36316	0	0	853.1906881	0	0	1.28553785	1.28553785	1.28553785	0	0	0	0	0	0	25.61949334	0	0
8	9	1	11127	0	0	933.2791575	0	0	3.529661753	3.529661753	3.529661753	0	0	0	0	0	0	22.93313867	0	0
